x,value
0,41328.0
1,4795.5
2,6555.25
3,3109.75
4,4535.0
5,3513.25
6,4817.25
7,4232.0
8,4426.0
9,3706.5
10,4919.25
11,3335.5
12,5044.25
13,4448.25
14,4715.0
15,3430.0
16,2969.0
17,3858.75
18,1557.0
19,3339.75
20,4870.75
21,4550.75
22,4091.5
23,3916.25
24,4651.0
25,5194.0
26,1852.0
27,9938.0
28,4121.25
29,4129.5
30,7755.0
31,4305.25
32,4647.75
33,2860.0
34,9161.75
35,5329.75
36,3282.5
37,7238.25
38,4229.25
39,3285.25
40,2421.25
41,4424.5
42,4157.5
43,3249.75
44,4789.25
45,4348.0
46,2265.25
47,3636.0
48,3168.75
49,4164.0
50,4910.5
51,4864.5
52,4864.5
53,3825.0
54,8650.75
55,4184.0
56,3333.5
57,5043.25
58,4986.0
59,4791.5
60,9575.25
61,4896.25
62,3019.25
63,2953.5
64,4321.5
65,2680.25
66,3107.25
67,7378.0
68,3396.0
69,2095.75
70,3843.5
71,907.75
72,4515.5
73,3731.0
74,3815.25
75,3341.75
76,4671.25
77,3800.75
78,3399.25
79,4405.75
80,2417.75
81,3711.5
82,7017.75
83,4389.0
84,3259.25
85,5107.5
86,4710.25
87,3458.25
88,3784.75
89,5274.5
90,3261.25
91,4405.5
92,4452.0
93,2402.25
94,3699.75
95,8469.75
96,6277.0
97,3337.5
98,3551.0
99,3246.0
100,1980.5
101,5009.5
102,3513.25
103,4390.25
104,3800.25
105,5015.5
106,5198.25
107,4828.5
108,5123.25
109,4425.75
110,4924.75
111,4630.5
112,4363.0
113,4855.5
114,6265.75
115,2295.75
116,3342.75
117,4956.0
118,2910.5
119,4066.5
120,3811.25
121,4295.0
122,3688.5
123,3574.25
124,1657.5
125,10206.0
126,4508.75
127,4560.0
128,6428.5
129,5066.5
130,4889.0
131,4520.5
132,3089.0
133,4631.0
134,4780.5
135,2390.75
136,4762.0
137,3034.75
138,4622.75
139,3129.0
140,11288.25
141,3374.0
142,4106.25
143,4335.5
144,5163.0
145,3194.0
146,4769.25
147,3215.25
148,7377.25
149,4918.25
150,2264.0
151,3934.25
152,3131.25
153,4959.25
154,3207.5
155,3818.5
156,4477.75
157,4034.75
158,4766.0
159,3292.0
160,3585.5
161,4361.25
162,4254.75
163,3341.5
164,5880.5
165,8666.25
166,4644.75
167,3250.0
168,4560.5
169,4704.0
170,3515.75
171,5105.25
172,4876.75
173,4429.0
174,3168.5
175,3780.5
176,3079.75
177,2625.75
178,5139.0
179,4514.25
180,3180.5
181,5331.0
182,4522.75
183,2991.0
184,2582.75
185,4305.0
186,1963.25
187,4674.5
188,4370.5
189,3091.5
190,4357.25
191,3490.5
192,2640.75
193,2961.75
194,4289.0
195,4388.5
196,3566.5
197,2566.25
198,3480.75
199,3403.25
200,4979.5
201,4375.5
202,2674.0
203,3031.25
204,4096.25
205,2097.5
206,5942.5
207,3993.5
208,3705.75
209,2804.25
210,3842.5
211,3767.5
212,4429.25
213,6987.0
214,5549.0
215,3587.0
216,3908.75
217,3925.75
218,1180.0
219,4012.0
220,3968.5
221,5353.75
222,3638.25
223,5043.75
224,4336.5
225,4331.75
226,4511.25
227,4592.25
228,4512.5
229,5169.25
230,4100.25
231,4850.5
232,3520.25
233,3638.25
234,3229.0
235,3830.0
236,5077.25
237,4329.25
238,3011.0
239,2484.0
240,7957.5
241,5055.75
242,4093.25
243,2431.5
244,7964.25
245,4208.0
246,3827.75
247,4669.75
248,7576.5
249,5354.25
250,6359.25
251,9854.5
252,3013.25
253,3502.0
254,3187.75
255,4443.0
256,3968.5
257,3264.75
258,4303.5
259,4584.0
260,3176.25
