station_id,t,value
0,1,1.0
1,1,20.0
2,1,25.0
3,1,2.0
4,1,20.0
5,1,20.0
6,1,19.0
7,1,20.0
8,1,13.0
9,1,5.0
10,1,20.0
11,1,15.0
12,1,20.0
13,1,20.0
14,1,18.0
15,1,16.0
16,1,15.0
17,1,14.0
18,1,9.0
19,1,14.0
20,1,18.0
21,1,6.0
22,1,20.0
23,1,15.0
24,1,14.0
25,1,20.0
26,1,15.0
27,1,40.0
28,1,10.0
29,1,7.0
30,1,30.0
31,1,20.0
32,1,4.0
33,1,4.0
34,1,40.0
35,1,19.0
36,1,12.0
37,1,30.0
38,1,20.0
39,1,8.0
40,1,15.0
41,1,16.0
42,1,0.0
43,1,13.0
44,1,10.0
45,1,20.0
46,1,15.0
47,1,15.0
48,1,11.0
49,1,18.0
50,1,20.0
51,1,20.0
52,1,20.0
53,1,19.0
54,1,40.0
55,1,7.0
56,1,15.0
57,1,20.0
58,1,20.0
59,1,12.0
60,1,40.0
61,1,19.0
62,1,18.0
63,1,7.0
64,1,10.0
65,1,12.0
66,1,14.0
67,1,22.0
68,1,15.0
69,1,6.0
70,1,13.0
71,1,3.0
72,1,20.0
73,1,16.0
74,1,11.0
75,1,14.0
76,1,20.0
77,1,14.0
78,1,15.0
79,1,18.0
80,1,15.0
81,1,10.0
82,1,30.0
83,1,2.0
84,1,15.0
85,1,11.0
86,1,20.0
87,1,15.0
88,1,9.0
89,1,20.0
90,1,14.0
91,1,17.0
92,1,20.0
93,1,9.0
94,1,15.0
95,1,39.0
96,1,12.0
97,1,1.0
98,1,8.0
99,1,15.0
100,1,15.0
101,1,20.0
102,1,15.0
103,1,20.0
104,1,20.0
105,1,20.0
106,1,20.0
107,1,20.0
108,1,20.0
109,1,20.0
110,1,17.0
111,1,20.0
112,1,5.0
113,1,20.0
114,1,21.0
115,1,15.0
116,1,15.0
117,1,20.0
118,1,16.0
119,1,6.0
120,1,2.0
121,1,20.0
122,1,14.0
123,1,8.0
124,1,6.0
125,1,13.0
126,1,29.0
127,1,19.0
128,1,39.0
129,1,20.0
130,1,20.0
131,1,13.0
132,1,15.0
133,1,10.0
134,1,20.0
135,1,15.0
136,1,20.0
137,1,13.0
138,1,2.0
139,1,13.0
140,1,32.0
141,1,15.0
142,1,20.0
143,1,0.0
144,1,11.0
145,1,15.0
146,1,17.0
147,1,15.0
148,1,29.0
149,1,4.0
150,1,10.0
151,1,9.0
152,1,15.0
153,1,14.0
154,1,14.0
155,1,15.0
156,1,20.0
157,1,15.0
158,1,14.0
159,1,15.0
160,1,15.0
161,1,18.0
162,1,12.0
163,1,4.0
164,1,30.0
165,1,12.0
166,1,20.0
167,1,7.0
168,1,20.0
169,1,20.0
170,1,12.0
171,1,20.0
172,1,20.0
173,1,5.0
174,1,9.0
175,1,15.0
176,1,15.0
177,1,9.0
178,1,20.0
179,1,6.0
180,1,2.0
181,1,20.0
182,1,20.0
183,1,15.0
184,1,15.0
185,1,7.0
186,1,15.0
187,1,4.0
188,1,18.0
189,1,0.0
190,1,9.0
191,1,20.0
192,1,15.0
193,1,2.0
194,1,7.0
195,1,20.0
196,1,0.0
197,1,14.0
198,1,15.0
199,1,18.0
200,1,20.0
201,1,5.0
202,1,7.0
203,1,11.0
204,1,15.0
205,1,14.0
206,1,3.0
207,1,15.0
208,1,2.0
209,1,11.0
210,1,20.0
211,1,15.0
212,1,18.0
213,1,25.0
214,1,7.0
215,1,15.0
216,1,15.0
217,1,15.0
218,1,4.0
219,1,2.0
220,1,20.0
221,1,18.0
222,1,16.0
223,1,11.0
224,1,8.0
225,1,20.0
226,1,1.0
227,1,19.0
228,1,20.0
229,1,20.0
230,1,2.0
231,1,12.0
232,1,8.0
233,1,12.0
234,1,15.0
235,1,20.0
236,1,20.0
237,1,10.0
238,1,13.0
239,1,4.0
240,1,30.0
241,1,3.0
242,1,20.0
243,1,15.0
244,1,37.0
245,1,19.0
246,1,15.0
247,1,5.0
248,1,19.0
249,1,20.0
250,1,24.0
251,1,40.0
252,1,20.0
253,1,10.0
254,1,14.0
255,1,12.0
256,1,17.0
257,1,15.0
258,1,14.0
259,1,20.0
260,1,0.0
