x,mean
0,42.641129032258064
1,42.33870967741935
2,42.288306451612904
3,42.13709677419355
4,42.13709677419355
5,42.13709677419355
6,42.13709677419355
7,40.32258064516129
8,34.828629032258064
9,25.35282258064516
10,24.092741935483872
11,21.774193548387096
12,22.026209677419356
13,22.429435483870968
14,23.538306451612904
15,27.318548387096776
16,28.37701612903226
17,28.780241935483872
18,27.116935483870968
19,29.133064516129032
20,33.66935483870968
21,39.163306451612904
22,41.98588709677419
23,43.24596774193548
