meta_json
"{""type"": ""line"", ""title"": ""Acumulado Estaciones [12, 13, 15, 16]"", ""xLabel"": ""Hora"", ""yLabel"": ""Acumulado"", ""multiStation"": true, ""stations"": [12, 13, 15, 16], ""dias"": [21, 22, 23, 24]}"
x,Est_12,Est_13,Est_15,Est_16
0,255.0,60.0,181.25,266.6666666666667
1,515.0,150.0,368.75,546.6666666666667
2,775.0,240.0,556.25,826.6666666666667
3,1035.0,330.0,743.75,1106.6666666666667
4,1295.0,420.0,931.25,1386.6666666666667
5,1555.0,508.75,1118.75,1666.6666666666667
6,1815.0,593.75,1306.25,1946.6666666666667
7,2063.75,711.25,1478.125,2226.666666666667
8,2317.5,768.75,1606.25,2521.666666666667
9,2576.25,780.0,1670.3125,2793.3333333333335
10,2848.75,783.75,1737.5,3070.0
11,3121.25,798.75,1787.5,3356.6666666666665
12,3360.0,845.0,1854.6875,3640.0
13,3572.5,898.75,1939.0625,3926.6666666666665
14,3803.75,970.0,2006.25,4206.666666666666
15,4037.5,1045.0,2075.0,4479.999999999999
16,4290.0,1122.5,2175.0,4746.666666666666
17,4556.25,1190.0,2265.625,5019.999999999999
18,4831.25,1271.25,2332.8125,5281.666666666666
19,5121.25,1346.25,2437.5,5533.333333333333
20,5423.75,1381.25,2592.1875,5770.0
21,5708.75,1400.0,2767.1875,6016.666666666667
22,5995.0,1433.75,2948.4375,6266.666666666667
23,6290.0,1480.0,3123.4375,6520.0
