meta_json
"{""type"": ""bar"", ""title"": ""Media Estaciones [12, 13, 15, 16]"", ""xLabel"": ""Hora"", ""yLabel"": ""Media"", ""multiStation"": true, ""stations"": [12, 13, 15, 16], ""dias"": [21, 22, 23, 24]}"
x,Est_12,Est_13,Est_15,Est_16
0,63.75,15.0,45.3125,66.66666666666667
1,65.0,22.5,46.875,70.0
2,65.0,22.5,46.875,70.0
3,65.0,22.5,46.875,70.0
4,65.0,22.5,46.875,70.0
5,65.0,22.1875,46.875,70.0
6,65.0,21.25,46.875,70.0
7,62.1875,29.375,42.96875,70.0
8,63.4375,14.375,32.03125,73.75
9,64.6875,2.8125,16.015625,67.91666666666667
10,68.125,0.9375,16.796875,69.16666666666667
11,68.125,3.75,12.5,71.66666666666667
12,59.6875,11.5625,16.796875,70.83333333333334
13,53.125,13.4375,21.09375,71.66666666666667
14,57.8125,17.8125,16.796875,70.0
15,58.4375,18.75,17.1875,68.33333333333334
16,63.125,19.375,25.0,66.66666666666667
17,66.5625,16.875,22.65625,68.33333333333334
18,68.75,20.3125,16.796875,65.41666666666667
19,72.5,18.75,26.171875,62.91666666666667
20,75.625,8.75,38.671875,59.16666666666667
21,71.25,4.6875,43.75,61.66666666666667
22,71.5625,8.4375,45.3125,62.5
23,73.75,11.5625,43.75,63.333333333333336
