meta_json
"{""type"": ""line"", ""title"": ""Acumulado Estaciones [1]"", ""xLabel"": ""Hora"", ""yLabel"": ""Acumulado"", ""multiStation"": true, ""stations"": [1], ""dias"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]}"
x,Est_1
0,1480.0
1,2975.0
2,4470.0
3,5965.0
4,7460.0
5,8955.0
6,10441.25
7,11845.0
8,13151.25
9,14340.0
10,15546.25
11,16708.75
12,17878.75
13,18976.25
14,20095.0
15,21377.5
16,22606.25
17,23803.75
18,24938.75
19,25953.75
20,26977.5
21,28152.5
22,29470.0
23,30918.75
