meta_json
"{""type"": ""bar"", ""title"": ""Media Estaciones [1]"", ""xLabel"": ""Hora"", ""yLabel"": ""Media"", ""multiStation"": true, ""stations"": [1], ""dias"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]}"
x,Est_1
0,47.74193548387097
1,48.225806451612904
2,48.225806451612904
3,48.225806451612904
4,48.225806451612904
5,48.225806451612904
6,47.943548387096776
7,45.28225806451613
8,42.13709677419355
9,38.346774193548384
10,38.91129032258065
11,37.5
12,37.74193548387097
13,35.403225806451616
14,36.08870967741935
15,41.37096774193548
16,39.63709677419355
17,38.62903225806452
18,36.61290322580645
19,32.74193548387097
20,33.024193548387096
21,37.903225806451616
22,42.5
23,46.733870967741936
