x,Est_12
0,8.935483870967742
1,8.935483870967742
2,8.935483870967742
3,8.935483870967742
4,8.935483870967742
5,8.935483870967742
6,8.911290322580646
7,8.67741935483871
8,9.10483870967742
9,9.508064516129032
10,9.475806451612904
11,9.39516129032258
12,9.258064516129032
13,9.048387096774194
14,9.201612903225806
15,9.419354838709678
16,10.112903225806452
17,9.903225806451612
18,9.306451612903226
19,9.459677419354838
20,9.137096774193548
21,8.798387096774194
22,8.814516129032258
23,8.548387096774194
