station_id,t,value
0,720,720.0
1,720,5.0
2,720,22.0
3,720,5.0
4,720,15.0
5,720,10.0
6,720,9.0
7,720,8.0
8,720,15.0
9,720,1.0
10,720,2.0
11,720,10.0
12,720,3.0
13,720,13.0
14,720,17.0
15,720,16.0
16,720,14.0
17,720,5.0
18,720,3.0
19,720,1.0
20,720,7.0
21,720,5.0
22,720,4.0
23,720,10.0
24,720,15.0
25,720,9.0
26,720,5.0
27,720,31.0
28,720,14.0
29,720,4.0
30,720,14.0
31,720,14.0
32,720,18.0
33,720,3.5
34,720,24.0
35,720,14.0
36,720,6.0
37,720,25.0
38,720,10.0
39,720,16.0
40,720,15.0
41,720,9.0
42,720,10.0
43,720,11.0
44,720,14.0
45,720,13.0
46,720,3.5
47,720,8.0
48,720,8.5
49,720,14.0
50,720,12.0
51,720,11.0
52,720,17.0
53,720,12.0
54,720,27.0
55,720,11.0
56,720,4.75
57,720,15.0
58,720,9.0
59,720,15.0
60,720,27.0
61,720,7.0
62,720,11.0
63,720,2.0
64,720,11.0
65,720,0.0
66,720,3.0
67,720,14.0
68,720,0.0
69,720,0.0
70,720,7.0
71,720,1.0
72,720,5.0
73,720,12.0
74,720,6.0
75,720,11.0
76,720,3.0
77,720,1.0
78,720,11.0
79,720,6.0
80,720,1.0
81,720,3.0
82,720,17.0
83,720,0.0
84,720,13.0
85,720,12.0
86,720,9.0
87,720,12.0
88,720,7.75
89,720,8.0
90,720,7.0
91,720,17.0
92,720,15.0
93,720,11.0
94,720,7.0
95,720,2.0
96,720,24.0
97,720,9.0
98,720,9.0
99,720,13.0
100,720,15.0
101,720,8.0
102,720,7.0
103,720,11.0
104,720,0.0
105,720,14.0
106,720,10.0
107,720,3.0
108,720,1.0
109,720,11.0
110,720,17.0
111,720,3.0
112,720,6.0
113,720,20.0
114,720,27.0
115,720,10.0
116,720,2.0
117,720,5.0
118,720,5.0
119,720,2.0
120,720,0.0
121,720,0.0
122,720,2.0
123,720,14.0
124,720,3.0
125,720,28.0
126,720,18.0
127,720,1.0
128,720,3.0
129,720,12.0
130,720,15.0
131,720,12.0
132,720,5.0
133,720,8.5
134,720,18.0
135,720,15.0
136,720,15.0
137,720,8.0
138,720,3.0
139,720,6.0
140,720,5.0
141,720,7.0
142,720,5.0
143,720,6.0
144,720,5.0
145,720,9.0
146,720,14.0
147,720,2.0
148,720,27.0
149,720,15.0
150,720,11.0
151,720,13.0
152,720,13.0
153,720,13.0
154,720,5.0
155,720,11.0
156,720,9.0
157,720,4.0
158,720,12.0
159,720,10.0
160,720,12.0
161,720,16.0
162,720,17.75
163,720,8.0
164,720,10.25
165,720,13.0
166,720,7.0
167,720,3.0
168,720,18.0
169,720,6.0
170,720,13.0
171,720,16.0
172,720,17.0
173,720,0.0
174,720,0.0
175,720,11.0
176,720,12.0
177,720,6.0
178,720,19.0
179,720,3.0
180,720,4.0
181,720,7.0
182,720,11.0
183,720,12.0
184,720,10.0
185,720,17.0
186,720,14.0
187,720,6.0
188,720,1.0
189,720,6.0
190,720,2.0
191,720,2.0
192,720,1.0
193,720,1.0
194,720,6.0
195,720,14.0
196,720,10.0
197,720,1.0
198,720,13.0
199,720,8.0
200,720,4.0
201,720,10.5
202,720,0.0
203,720,8.0
204,720,8.0
205,720,12.0
206,720,17.75
207,720,11.0
208,720,14.0
209,720,7.0
210,720,9.0
211,720,15.0
212,720,0.0
213,720,19.0
214,720,23.0
215,720,5.0
216,720,11.0
217,720,4.0
218,720,1.0
219,720,1.0
220,720,14.0
221,720,11.0
222,720,0.0
223,720,4.0
224,720,15.0
225,720,13.0
226,720,1.0
227,720,16.0
228,720,12.0
229,720,10.0
230,720,0.0
231,720,12.0
232,720,9.0
233,720,6.0
234,720,10.0
235,720,0.0
236,720,17.0
237,720,7.0
238,720,2.0
239,720,3.0
240,720,29.0
241,720,4.0
242,720,9.0
243,720,2.0
244,720,30.0
245,720,5.0
246,720,14.0
247,720,18.0
248,720,3.0
249,720,19.0
250,720,22.0
251,720,4.0
252,720,12.0
253,720,5.0
254,720,6.0
255,720,0.0
256,720,16.0
257,720,1.0
258,720,9.0
259,720,7.0
260,720,11.0
