x,Est_13
0,48.79032258064516
1,49.516129032258064
2,49.596774193548384
3,49.83870967741935
4,49.83870967741935
5,49.67741935483871
6,49.395161290322584
7,50.604838709677416
8,41.935483870967744
9,34.596774193548384
10,31.89516129032258
11,29.193548387096776
12,30.56451612903226
13,31.774193548387096
14,31.89516129032258
15,33.70967741935484
16,36.61290322580645
17,34.395161290322584
18,38.064516129032256
19,36.693548387096776
20,35.36290322580645
21,38.024193548387096
22,43.46774193548387
23,48.58870967741935
