x,Est_82
0,1895.8333333333335
1,3786.666666666667
2,5682.5
3,7579.166666666667
4,9476.666666666668
5,11379.166666666668
6,13286.666666666668
7,15143.333333333334
8,17025.833333333336
9,19080.000000000004
10,21214.16666666667
11,23253.33333333334
12,25305.000000000007
13,27411.666666666675
14,29397.500000000007
15,31500.83333333334
16,33732.50000000001
17,36032.50000000001
18,38455.00000000001
19,40879.16666666667
20,43218.333333333336
21,45404.16666666667
22,47343.333333333336
23,49189.16666666667
