x,Est_82
0,61.15591397849463
1,60.99462365591398
2,61.15591397849463
3,61.182795698924735
4,61.20967741935484
5,61.370967741935495
6,61.532258064516135
7,59.892473118279575
8,60.725806451612904
9,66.26344086021507
10,68.84408602150538
11,65.77956989247312
12,66.18279569892474
13,67.95698924731184
14,64.05913978494624
15,67.8494623655914
16,71.98924731182797
17,74.19354838709677
18,78.14516129032258
19,78.1989247311828
20,75.45698924731184
21,70.51075268817205
22,62.553763440860216
23,59.543010752688176
