station_id,capacity,latitude,longitude
0,20.0,1.0,2.0
1,25.0,37.41859,-5.97325
2,15.0,37.35816,-5.98648
3,20.0,37.38951,-5.98436
4,20.0,37.4086,-5.97316
5,19.0,37.38152,-5.989
6,20.0,37.38354,-5.99991
7,29.0,37.36362,-5.98479
8,17.0,37.3861,-5.91009
9,20.0,37.3871,-5.97484
10,15.0,37.41147,-5.96676
11,20.0,37.40286,-5.92175
12,20.0,37.38432,-5.98248
13,18.0,37.40693,-5.98262
14,16.0,37.37153,-6.0028
15,15.0,37.39759,-5.98387
16,17.0,37.34532,-5.98266
17,30.0,37.40249,-5.97768
18,15.0,37.38566,-5.91345
19,18.0,37.40561,-5.93052
20,20.0,37.37574,-5.99926
21,20.0,37.40286,-6.00411
22,15.0,37.3774,-5.99197
23,20.0,37.40146,-5.98369
24,20.0,37.41891,-5.96322
25,15.0,37.38963,-6.00758
26,40.0,37.42476,-5.98482
27,20.0,37.38897,-5.99529
28,20.0,37.37232,-5.96317
29,30.0,37.4005,-5.9984
30,20.0,37.40499,-5.93581
31,20.0,37.40547,-5.98153
32,15.0,37.39484,-5.96843
33,40.0,37.40404,-5.98459
34,20.0,37.39208,-6.01105
35,20.0,37.39609,-5.95876
36,30.0,37.42163,-5.9715
37,20.0,37.40387,-5.9949
38,19.0,37.38882,-5.99586
39,15.0,37.39396,-5.9969
40,18.0,37.35066,-5.98419
41,20.0,37.37506,-5.96749
42,15.0,37.3765,-5.97267
43,20.0,37.40296,-5.95821
44,20.0,37.39363,-5.98187
45,15.0,37.39281,-5.99934
46,15.0,37.3462,-5.9762
47,15.0,37.39958,-5.99103
48,19.0,37.37741,-5.9749
49,20.0,37.39429,-5.99165
50,20.0,37.3986,-5.97363
51,20.0,37.37979,-5.99711
52,19.0,37.37836,-5.9794
53,40.0,37.37807,-6.01194
54,20.0,37.38112,-5.98695
55,15.0,37.40416,-6.0073
56,20.0,37.37614,-5.95502
57,20.0,37.35502,-5.98237
58,20.0,37.38274,-5.98372
59,40.0,37.36956,-5.96864
60,19.0,37.40647,-5.98912
61,18.0,37.36615,-5.97487
62,15.0,37.37124,-5.98921
63,20.0,37.40394,-5.93974
64,15.0,37.37335,-5.96493
65,14.0,37.38716,-5.97102
66,30.0,37.39994,-5.92516
67,15.0,37.32033,-5.9692
68,10.0,37.38986,-5.99113
69,15.0,37.38833,-5.9869
70,12.0,37.41174,-5.92986
71,20.0,37.39075,-5.91964
72,20.0,37.3812,-5.99353
73,15.0,37.38709,-5.94832
74,14.0,37.39701,-5.92376
75,20.0,37.37781,-6.00261
76,20.0,37.38718,-6.00138
77,17.0,37.41585,-6.00547
78,18.0,37.3837,-5.91482
79,15.0,37.37165,-5.99775
80,15.0,37.37796,-5.95197
81,30.0,37.36874,-5.95729
82,20.0,37.37823,-5.97936
83,15.0,37.39552,-6.00232
84,20.0,37.38435,-5.96538
85,20.0,37.37173,-5.9819
86,15.0,37.38882,-5.99575
87,15.0,37.39916,-5.98274
88,20.0,37.40933,-5.92325
89,14.0,37.40665,-5.99311
90,17.0,37.38512,-6.00354
91,20.0,37.40388,-5.97209
92,20.0,37.41292,-5.98891
93,15.0,37.42457,-5.96999
94,39.0,37.39387,-5.96237
95,27.0,37.39106,-6.00315
96,15.0,37.36297,-5.98626
97,16.0,37.39994,-5.95629
98,15.0,37.37237,-5.97736
99,15.0,37.39666,-5.98988
100,20.0,37.42179,-5.98318
101,15.0,37.38763,-5.98103
102,20.0,37.36859,-6.0037
103,20.0,37.40715,-5.97884
104,20.0,37.39687,-5.99393
105,20.0,37.38691,-6.00767
106,20.0,37.37972,-5.9838
107,20.0,37.40852,-5.97049
