station_id,t,value
0,621,621.0
1,621,1.0
2,621,23.0
3,621,8.0
4,621,10.0
5,621,6.0
6,621,1.0
7,621,15.0
8,621,10.0
9,621,0.0
10,621,18.0
11,621,6.0
12,621,6.0
13,621,10.0
14,621,14.0
15,621,2.0
16,621,12.0
17,621,11.0
18,621,2.0
19,621,7.0
20,621,9.0
21,621,1.0
22,621,15.0
23,621,2.0
24,621,15.0
25,621,9.0
26,621,7.0
27,621,36.0
28,621,3.0
29,621,0.0
30,621,9.0
31,621,16.0
32,621,11.0
33,621,14.0
34,621,35.0
35,621,11.0
36,621,3.0
37,621,27.0
38,621,20.0
39,621,11.0
40,621,7.0
41,621,16.0
42,621,1.0
43,621,1.0
44,621,1.0
45,621,15.0
46,621,11.0
47,621,7.0
48,621,0.0
49,621,16.0
50,621,8.0
51,621,17.0
52,621,12.0
53,621,13.0
54,621,20.0
55,621,6.0
56,621,12.0
57,621,19.0
58,621,17.0
59,621,17.0
60,621,24.0
61,621,13.0
62,621,5.0
63,621,0.0
64,621,16.0
65,621,4.0
66,621,7.0
67,621,13.0
68,621,8.0
69,621,0.0
70,621,8.0
71,621,3.0
72,621,11.0
73,621,9.0
74,621,5.0
75,621,12.0
76,621,8.0
77,621,3.0
78,621,7.0
79,621,14.0
80,621,3.0
81,621,7.0
82,621,13.0
83,621,2.0
84,621,1.0
85,621,7.0
86,621,18.0
87,621,6.0
88,621,11.0
89,621,6.0
90,621,6.0
91,621,1.0
92,621,9.0
93,621,1.0
94,621,15.0
95,621,25.0
96,621,20.0
97,621,3.0
98,621,6.0
99,621,4.0
100,621,8.0
101,621,5.0
102,621,4.0
103,621,14.0
104,621,11.0
105,621,4.0
106,621,0.0
107,621,15.0
108,621,12.0
109,621,19.0
110,621,18.0
111,621,10.0
112,621,2.0
113,621,19.0
114,621,14.0
115,621,4.0
116,621,8.0
117,621,18.0
118,621,3.0
119,621,4.0
120,621,6.0
121,621,19.0
122,621,12.0
123,621,14.0
124,621,4.0
125,621,4.0
126,621,18.0
127,621,5.0
128,621,21.0
129,621,12.0
130,621,10.0
131,621,12.0
132,621,5.0
133,621,3.0
134,621,16.0
135,621,15.0
136,621,0.0
137,621,5.0
138,621,4.0
139,621,13.0
140,621,15.0
141,621,13.0
142,621,15.0
143,621,6.0
144,621,5.0
145,621,14.0
146,621,10.0
147,621,7.0
148,621,14.0
149,621,14.0
150,621,1.0
151,621,10.0
152,621,15.0
153,621,7.0
154,621,7.0
155,621,11.0
156,621,19.0
157,621,0.0
158,621,12.0
159,621,10.0
160,621,14.0
161,621,6.0
162,621,18.0
163,621,2.0
164,621,21.0
165,621,8.0
166,621,17.0
167,621,14.0
168,621,19.0
169,621,17.0
170,621,12.0
171,621,12.0
172,621,18.0
173,621,3.0
174,621,2.0
175,621,11.0
176,621,8.0
177,621,1.0
178,621,15.0
179,621,16.0
180,621,3.0
181,621,2.0
182,621,19.0
183,621,6.0
184,621,2.0
185,621,0.0
186,621,2.0
187,621,7.0
188,621,4.0
189,621,4.0
190,621,5.0
191,621,5.0
192,621,6.0
193,621,4.0
194,621,12.0
195,621,13.0
196,621,7.0
197,621,4.0
198,621,15.0
199,621,10.0
200,621,14.0
201,621,4.0
202,621,4.0
203,621,2.0
204,621,13.0
205,621,1.0
206,621,8.0
207,621,9.0
208,621,9.0
209,621,3.0
210,621,11.0
211,621,8.0
212,621,6.0
213,621,16.0
214,621,13.0
215,621,14.0
216,621,9.0
217,621,4.0
218,621,4.0
219,621,4.0
220,621,19.0
221,621,6.0
222,621,5.0
223,621,12.0
224,621,9.0
225,621,12.0
226,621,13.0
227,621,5.0
228,621,7.0
229,621,1.0
230,621,1.0
231,621,10.0
232,621,0.0
233,621,5.0
234,621,5.0
235,621,7.0
236,621,5.0
237,621,4.0
238,621,11.0
239,621,3.0
240,621,30.0
241,621,3.0
242,621,12.0
243,621,9.0
244,621,32.0
245,621,3.0
246,621,11.0
247,621,15.0
248,621,4.0
249,621,17.0
250,621,15.0
251,621,11.0
252,621,5.0
253,621,8.0
254,621,9.0
255,621,9.0
256,621,13.0
257,621,14.0
258,621,11.0
259,621,8.0
260,621,5.0
